prompt_id,prompt_text,phoneme_seq,phoneme_slug
p-001,あ,a,a
p-002,い,i,i
p-003,う,u,u
p-004,え,e,e
p-005,お,o,o
p-006,か,k a,k_a
p-007,き,k i,k_i
p-008,く,k u,k_u
p-009,け,k e,k_e
p-010,こ,k o,k_o
p-011,さ,s a,s_a
p-012,し,sh i,sh_i
p-013,す,s u,s_u
p-014,せ,s e,s_e
p-015,そ,s o,s_o
p-016,た,t a,t_a
p-017,ち,ch i,ch_i
p-018,つ,ts u,ts_u
p-019,て,t e,t_e
p-020,と,t o,t_o
p-021,な,n a,n_a
p-022,に,n i,n_i
p-023,ぬ,n u,n_u
p-024,ね,n e,n_e
p-025,の,n o,n_o
p-026,は,h a,h_a
p-027,ひ,h i,h_i
p-028,ふ,f u,f_u
p-029,へ,h e,h_e
p-030,ほ,h o,h_o
p-031,ま,m a,m_a
p-032,み,m i,m_i
p-033,む,m u,m_u
p-034,め,m e,m_e
p-035,も,m o,m_o
p-036,や,y a,y_a
p-037,ゆ,y u,y_u
p-038,よ,y o,y_o
p-039,ら,r a,r_a
p-040,り,r i,r_i
p-041,る,r u,r_u
p-042,れ,r e,r_e
p-043,ろ,r o,r_o
p-044,わ,w a,w_a
p-045,を,o,o
p-046,ん,N,N
p-047,が,g a,g_a
p-048,ぎ,g i,g_i
p-049,ぐ,g u,g_u
p-050,げ,g e,g_e
p-051,ご,g o,g_o
p-052,ざ,z a,z_a
p-053,じ,j i,j_i
p-054,ず,z u,z_u
p-055,ぜ,z e,z_e
p-056,ぞ,z o,z_o
p-057,だ,d a,d_a
p-058,ぢ,j i,j_i
p-059,づ,z u,z_u
p-060,で,d e,d_e
p-061,ど,d o,d_o
p-062,ば,b a,b_a
p-063,び,b i,b_i
p-064,ぶ,b u,b_u
p-065,べ,b e,b_e
p-066,ぼ,b o,b_o
p-067,ぱ,p a,p_a
p-068,ぴ,p i,p_i
p-069,ぷ,p u,p_u
p-070,ぺ,p e,p_e
p-071,ぽ,p o,p_o
p-072,きゃ,ky a,ky_a
p-073,きゅ,ky u,ky_u
p-074,きょ,ky o,ky_o
p-075,ぎゃ,gy a,gy_a
p-076,ぎゅ,gy u,gy_u
p-077,ぎょ,gy o,gy_o
p-078,しゃ,sh a,sh_a
p-079,しゅ,sh u,sh_u
p-080,しょ,sh o,sh_o
p-081,じゃ,j a,j_a
p-082,じゅ,j u,j_u
p-083,じょ,j o,j_o
p-084,ちゃ,ch a,ch_a
p-085,ちゅ,ch u,ch_u
p-086,ちょ,ch o,ch_o
p-087,にゃ,ny a,ny_a
p-088,にゅ,ny u,ny_u
p-089,にょ,ny o,ny_o
p-090,ひゃ,hy a,hy_a
p-091,ひゅ,hy u,hy_u
p-092,ひょ,hy o,hy_o
p-093,びゃ,by a,by_a
p-094,びゅ,by u,by_u
p-095,びょ,by o,by_o
p-096,ぴゃ,py a,py_a
p-097,ぴゅ,py u,py_u
p-098,ぴょ,py o,py_o
p-099,みゃ,my a,my_a
p-100,みゅ,my u,my_u
p-101,みょ,my o,my_o
p-102,りゃ,ry a,ry_a
p-103,りゅ,ry u,ry_u
p-104,りょ,ry o,ry_o
